基金類型,基金名稱,基金統編,手續費,保管費,經理人姓名,性別,學歷,經理人,期間(月),操作績效(%),台股績效(%),begin_date,end_date
跨國投資股票型全球市場,元大新中國基金(台幣),25520400A,2.0,0.26,葉書弘,男,台灣大學商研所,葉書弘,31,17.14,1.47,2014-06-16,2017-01-22
跨國投資股票型全球市場,元大新中國基金(台幣),25520400A,2.0,0.26,樂禹,男,英國卡迪夫大學國際經濟所碩士,樂禹,31,-15.02,20.66,2011-11-08,2014-06-15
跨國投資股票型全球市場,元大新中國基金(台幣),25520400A,2.0,0.26,蔣珮瑋,男,美國紐約市立大學柏魯克分校財務金融研究,蔣珮瑋,3,-6.39,0.09,2011-08-19,2011-11-07
跨國投資股票型全球市場,元大新中國基金(台幣),25520400A,2.0,0.26,郭繼儀,女,輔仁大學會計系,郭繼儀,2,-9.1,-15.31,2011-06-03,2011-08-18
跨國投資股票型全球市場,元大新中國基金(台幣),25520400A,2.0,0.26,劉玟君,女,"暨南國際大學國際企業學碩士
政治大學經濟學系學士",劉玟君,17,-6.01,9.7,2010-01-14,2011-06-02
跨國投資股票型全球市場,元大新中國基金(台幣),25520400A,2.0,0.26,李湘傑,男,國立台灣大學 國際企業研究所碩士,李湘傑,6,11.23,27.43,2009-07-01,2010-01-13
跨國投資股票型全球市場,元大新中國基金(台幣),25520400A,2.0,0.26,顏世龍,男,國立台灣大學經濟研究所碩士,顏世龍,2,-1.2,17.51,2009-04-02,2009-06-30
跨國投資股票型全球市場,凱基亞洲護城河基金(美元),42306377B,3.0,0.26,龔曉薇,女,"政治大學金融學系
政治大學企業管理研究所",龔曉薇,4,2.06,4.84,2021-04-01,
跨國投資股票型全球市場,凱基亞洲護城河基金(美元),42306377B,3.0,0.26,羅世明,男,東吳大學經濟學系暨國際貿易學系雙主修,羅世明,29,49.69,68.36,2018-10-25,2021-03-31
跨國投資股票型全球市場,凱基亞洲護城河基金(美元),42306377B,3.0,0.26,吳君函,女,美國伊利諾香檳分校財務金融&會計碩士,吳君函,0,-7.6,-10.63,2018-10-03,2018-10-24
跨國投資股票型全球市場,凱基亞洲護城河基金(美元),42306377B,3.0,0.26,張逸敏,,紐約州立大學 經濟系,張逸敏,6,-9.81,1.3,2018-04-21,2018-10-02
跨國投資股票型全球市場,凱基亞洲護城河基金(美元),42306377B,3.0,0.26,劉大平,男,英國瑞丁大學國際證券投資市場研究所,劉大平,34,34.08,16.41,2015-06-15,2018-04-20
跨國投資股票型全球市場,摩根龍揚基金,97999612,2.0,0.26,吳昱聰,男,英國杜倫大學國際金融投資碩士,吳昱聰,22,52.8,53.99,2019-10-18,
跨國投資股票型全球市場,摩根龍揚基金,97999612,2.0,0.26,魏伯宇,男,國立台灣大學國際企業學研究所,魏伯宇,3,2.28,3.29,2019-07-31,2019-10-17
跨國投資股票型全球市場,摩根龍揚基金,97999612,2.0,0.26,應迦得,男,"國立台灣大學財務金融所碩士
國立台灣大學土木工程碩士",應迦得,24,13.09,3.71,2017-07-17,2019-07-30
跨國投資股票型全球市場,摩根龍揚基金,97999612,2.0,0.26,戴慕浩,男,美國紐澤西州州立理工學院碩士,戴慕浩,21,16.0,21.81,2015-10-13,2017-07-16
跨國投資股票型全球市場,摩根龍揚基金,97999612,2.0,0.26,沈馨,女,美國伊利諾大學香檳校區會計碩士,沈馨,19,13.42,-0.04,2014-03-24,2015-10-12
跨國投資股票型全球市場,摩根龍揚基金,97999612,2.0,0.26,孫柏軒,男,台灣大學 財務金融學系,孫柏軒,16,16.81,20.03,2012-11-21,2014-03-23
跨國投資股票型全球市場,摩根龍揚基金,97999612,2.0,0.26,魏如宏,男,美國休士頓大學企管研究所碩士(MBA),魏如宏,91,23.82,18.98,2005-04-01,2012-11-20
跨國投資股票型全球市場,摩根龍揚基金,97999612,2.0,0.26,廖韻瑜,女,政治大學企業管理學系,廖韻瑜,46,14.98,21.12,2001-05-21,2005-03-31
跨國投資股票型全球市場,摩根龍揚基金,97999612,2.0,0.26,唐雲益,男,"MBA, The Bernard M.Baruch College",唐雲益,52,35.5,-28.5,1997-01-29,2001-05-20
跨國投資股票型全球市場,凱基亞洲護城河基金(人民幣),42306377C,3.0,0.26,龔曉薇,女,"政治大學金融學系
政治大學企業管理研究所",龔曉薇,4,0.68,4.84,2021-04-01,
跨國投資股票型全球市場,凱基亞洲護城河基金(人民幣),42306377C,3.0,0.26,羅世明,男,東吳大學經濟學系暨國際貿易學系雙主修,羅世明,29,41.55,68.36,2018-10-25,2021-03-31
跨國投資股票型全球市場,凱基亞洲護城河基金(人民幣),42306377C,3.0,0.26,吳君函,女,美國伊利諾香檳分校財務金融&會計碩士,吳君函,0,-6.86,-10.63,2018-10-03,2018-10-24
跨國投資股票型全球市場,凱基亞洲護城河基金(人民幣),42306377C,3.0,0.26,張逸敏,,紐約州立大學 經濟系,張逸敏,6,-1.4,1.3,2018-04-21,2018-10-02
跨國投資股票型全球市場,凱基亞洲護城河基金(人民幣),42306377C,3.0,0.26,劉大平,男,英國瑞丁大學國際證券投資市場研究所,劉大平,34,36.0,16.41,2015-06-15,2018-04-20
跨國投資股票型全球市場,國泰全球基礎建設基金(美元),48832881B,3.0,0.26,胡耿銘,男,美國聖路易大學財務碩士,胡耿銘,27,13.09,63.77,2019-05-15,
跨國投資股票型全球市場,國泰全球基礎建設基金(美元),48832881B,3.0,0.26,李旼易,男,國立台灣大學財金所碩士,李旼易,10,-1.14,-3.18,2018-07-16,2019-05-14
跨國投資股票型全球市場,國泰全球基礎建設基金(美元),48832881B,3.0,0.26,林修宇,男,國立台灣大學財金所,林修宇,1,0.72,-0.1,2018-06-01,2018-07-15
跨國投資股票型全球市場,國泰全球基礎建設基金(美元),48832881B,3.0,0.26,胡耿銘,男,美國聖路易大學財務碩士,胡耿銘,43,20.5,24.84,2014-10-13,2018-05-31
跨國投資股票型全球市場,復華全球消費基金(台幣),31980113A,3.0,0.26,王博祺,,"台灣大學材料科學與工程學研究所
成功大學材料科學與工程學系",王博祺,55,82.15,82.34,2017-01-25,
跨國投資股票型全球市場,復華全球消費基金(台幣),31980113A,3.0,0.26,蓋欣聖,男,"美國雪城大學(Syracuse University)企業管理碩士
國立成功大學航空太空工程碩士",蓋欣聖,38,1.4,16.58,2013-11-13,2017-01-24
跨國投資股票型全球市場,凱基亞洲護城河基金(台幣),42306377A,3.0,0.26,龔曉薇,女,"政治大學金融學系
政治大學企業管理研究所",龔曉薇,4,-0.39,4.84,2021-04-01,
跨國投資股票型全球市場,凱基亞洲護城河基金(台幣),42306377A,3.0,0.26,羅世明,男,東吳大學經濟學系暨國際貿易學系雙主修,羅世明,29,37.97,68.36,2018-10-25,2021-03-31
跨國投資股票型全球市場,凱基亞洲護城河基金(台幣),42306377A,3.0,0.26,吳君函,女,美國伊利諾香檳分校財務金融&會計碩士,吳君函,0,-6.75,-10.63,2018-10-03,2018-10-24
跨國投資股票型全球市場,凱基亞洲護城河基金(台幣),42306377A,3.0,0.26,張逸敏,,紐約州立大學 經濟系,張逸敏,6,-5.95,1.3,2018-04-21,2018-10-02
跨國投資股票型全球市場,凱基亞洲護城河基金(台幣),42306377A,3.0,0.26,劉大平,男,英國瑞丁大學國際證券投資市場研究所,劉大平,34,26.1,16.41,2015-06-15,2018-04-20
跨國投資股票型全球市場,宏利精選中華基金(台幣),48916256A,2.0,0.25,陳桂銓,男,國立臺北大學合作經濟學系,陳桂銓,1,-7.47,-3.48,2021-07-14,
跨國投資股票型全球市場,宏利精選中華基金(台幣),48916256A,2.0,0.25,孫傳恕,男,國立交通大學材料系碩士,孫傳恕,28,40.87,70.97,2019-03-18,2021-07-13
跨國投資股票型全球市場,宏利精選中華基金(台幣),48916256A,2.0,0.25,游清翔,男,羅福堡大學 銀行暨財務金融研究所,游清翔,85,59.06,32.41,2012-02-15,2019-03-17
跨國投資股票型全球市場,宏利精選中華基金(台幣),48916256A,2.0,0.25,周奇賢,男,政治大學公共行政學系,周奇賢,6,-2.69,0.39,2011-08-08,2012-02-14
跨國投資股票型全球市場,宏利精選中華基金(台幣),48916256A,2.0,0.25,王彥傑,男,淡江大學 管碩士(MBA),王彥傑,11,-6.07,-3.04,2010-09-17,2011-08-07
跨國投資股票型全球市場,宏利精選中華基金(台幣),48916256A,2.0,0.25,葉德鴻,男,美國伊利諾州Quincy University企管碩士,葉德鴻,37,-20.9,-9.31,2007-08-13,2010-09-16
跨國投資股票型全球市場,宏利精選中華基金(台幣),48916256A,2.0,0.25,趙建彰,男,政治大學企業管理碩士,趙建彰,0,0.0,-0.22,2007-08-02,2007-08-12
跨國投資股票型全球市場,國泰全球基礎建設基金(台幣),48832881A,3.0,0.26,胡耿銘,男,美國聖路易大學財務碩士,胡耿銘,27,1.24,63.77,2019-05-15,
跨國投資股票型全球市場,國泰全球基礎建設基金(台幣),48832881A,3.0,0.26,李旼易,男,國立台灣大學財金所碩士,李旼易,10,0.66,-3.18,2018-07-16,2019-05-14
跨國投資股票型全球市場,國泰全球基礎建設基金(台幣),48832881A,3.0,0.26,林修宇,男,國立台灣大學財金所,林修宇,1,2.72,-0.1,2018-06-01,2018-07-15
跨國投資股票型全球市場,國泰全球基礎建設基金(台幣),48832881A,3.0,0.26,胡耿銘,男,美國聖路易大學財務碩士,胡耿銘,137,32.4,40.63,2006-12-27,2018-05-31
跨國投資股票型區域型,統一大中華中小基金(美元),26202889B,1.4,0.26,郭秉修,男,國立清華大學科技管理研究所,郭秉修,37,75.03,58.9,2018-07-01,
跨國投資股票型區域型,統一大中華中小基金(美元),26202889B,1.4,0.26,陳朝政,男,美國喬治華盛頓大學企管所碩士,陳朝政,2,-7.75,1.31,2018-04-23,2018-06-30
跨國投資股票型區域型,統一大中華中小基金(人民幣),26202889C,1.4,0.26,郭秉修,男,國立清華大學科技管理研究所,郭秉修,37,71.25,58.9,2018-07-01,
跨國投資股票型區域型,統一大中華中小基金(人民幣),26202889C,1.4,0.26,陳朝政,男,美國喬治華盛頓大學企管所碩士,陳朝政,2,-3.05,1.31,2018-04-23,2018-06-30
跨國投資股票型區域型,瀚亞非洲基金(南非幣)(本基金配息來源可能為本金),10357632B,3.0,0.32,林志映,男,銘傳大學金融研究所,林志映,50,34.58,71.5,2017-06-01,
跨國投資股票型區域型,瀚亞非洲基金(南非幣)(本基金配息來源可能為本金),10357632B,3.0,0.32,林元平,男,"臺灣大學經濟學研究所碩士
美國特許金融分析師執照(CFA)",林元平,4,0.89,6.27,2017-01-25,2017-05-31
跨國投資股票型區域型,瀚亞非洲基金(南非幣)(本基金配息來源可能為本金),10357632B,3.0,0.32,謝天翎,女,國立台灣大學財務金融所碩士,謝天翎,5,-0.19,3.65,2016-08-26,2017-01-24
跨國投資股票型區域型,瀚亞非洲基金(南非幣)(本基金配息來源可能為本金),10357632B,3.0,0.32,林元平,男,"臺灣大學經濟學研究所碩士
美國特許金融分析師執照(CFA)",林元平,31,11.61,6.41,2014-01-13,2016-08-25
跨國投資股票型區域型,瀚亞非洲基金(台幣),10357632A,3.0,0.32,林志映,男,銘傳大學金融研究所,林志映,50,10.92,71.5,2017-06-01,
跨國投資股票型區域型,瀚亞非洲基金(台幣),10357632A,3.0,0.32,林元平,男,"臺灣大學經濟學研究所碩士
美國特許金融分析師執照(CFA)",林元平,4,-0.16,6.27,2017-01-25,2017-05-31
跨國投資股票型區域型,瀚亞非洲基金(台幣),10357632A,3.0,0.32,謝天翎,女,國立台灣大學財務金融所碩士,謝天翎,5,3.24,3.65,2016-08-26,2017-01-24
跨國投資股票型區域型,瀚亞非洲基金(台幣),10357632A,3.0,0.32,林元平,男,"臺灣大學經濟學研究所碩士
美國特許金融分析師執照(CFA)",林元平,37,-0.05,10.89,2013-07-15,2016-08-25
跨國投資股票型區域型,瀚亞非洲基金(台幣),10357632A,3.0,0.32,林宜正,男,美國波士頓大學MBA,林宜正,57,82.2,57.89,2008-10-08,2013-07-14
跨國投資股票型區域型,復華亞太神龍科技基金(美元),72938499B,3.0,0.26,林子欽,男,"美國密西根Ann Arbor大學財務工程研究所
中山大學企業管理學研究所",林子欽,43,105.0,55.08,2018-01-31,
跨國投資股票型區域型,統一大中華中小基金(台幣),26202889A,1.4,0.26,郭秉修,男,國立清華大學科技管理研究所,郭秉修,37,59.41,58.9,2018-07-01,
跨國投資股票型區域型,統一大中華中小基金(台幣),26202889A,1.4,0.26,陳朝政,男,美國喬治華盛頓大學企管所碩士,陳朝政,94,32.3,40.93,2010-08-26,2018-06-30
跨國投資股票型區域型,宏利亞太中小企業基金(人民幣避險),25677726B,3.0,0.33,林柏均,,清華大學 統計所碩士,林柏均,17,50.94,52.1,2020-03-09,
跨國投資股票型區域型,宏利亞太中小企業基金(人民幣避險),25677726B,3.0,0.33,陳桂銓,男,國立臺北大學合作經濟學系,陳桂銓,7,-6.17,7.33,2019-08-05,2020-03-08
跨國投資股票型區域型,宏利亞太中小企業基金(人民幣避險),25677726B,3.0,0.33,蘇泰弘,男,國立政治大學財務管理系碩士,蘇泰弘,5,-1.03,1.05,2019-03-18,2019-08-04
跨國投資股票型區域型,宏利亞太中小企業基金(人民幣避險),25677726B,3.0,0.33,孫傳恕,男,國立交通大學材料系碩士,孫傳恕,10,-20.26,-2.36,2018-05-09,2019-03-17
跨國投資股票型區域型,宏利亞太中小企業基金(人民幣避險),25677726B,3.0,0.33,陳桂銓,男,國立臺北大學合作經濟學系,陳桂銓,10,-0.64,1.83,2017-07-21,2018-05-08
跨國投資股票型區域型,宏利亞太中小企業基金(人民幣避險),25677726B,3.0,0.33,龔曉薇,女,"政治大學金融學系
政治大學企業管理研究所",龔曉薇,23,9.85,24.37,2015-08-10,2017-07-20
跨國投資股票型區域型,宏利亞太中小企業基金(人民幣避險),25677726B,3.0,0.33,游清翔,男,羅福堡大學 銀行暨財務金融研究所,游清翔,11,-3.79,-10.26,2014-09-05,2015-08-09
跨國投資股票型區域型,統一強漢基金(美元),48863201B,1.4,0.2,林鴻益,男,台科大企管碩士,林鴻益,33,191.0,73.15,2018-11-09,
跨國投資股票型區域型,統一強漢基金(美元),48863201B,1.4,0.2,錢素惠,女,淡江大學財務金融系,錢素惠,1,-5.21,-4.98,2018-10-10,2018-11-08
跨國投資股票型區域型,統一強漢基金(美元),48863201B,1.4,0.2,張繼聖,男,中正大學財金研究所碩士,張繼聖,6,-14.31,-2.9,2018-04-20,2018-10-09
跨國投資股票型區域型,復華亞太神龍科技基金(台幣),72938499A,3.0,0.26,林子欽,男,"美國密西根Ann Arbor大學財務工程研究所
中山大學企業管理學研究所",林子欽,43,96.2,55.08,2018-01-31,
跨國投資股票型區域型,野村大俄羅斯基金,10306992,2.0,0.32,劉佳奇,男,國立中山大學財務管理所碩士,劉佳奇,37,24.77,55.47,2018-07-30,
跨國投資股票型區域型,野村大俄羅斯基金,10306992,2.0,0.32,紀晶心,女,University of Nottingham 英國諾丁漢大學財務暨投資碩士,紀晶心,11,12.13,7.31,2017-08-19,2018-07-29
跨國投資股票型區域型,野村大俄羅斯基金,10306992,2.0,0.32,葉菀婷,女,國立交通大學經營管理研究所碩士,葉菀婷,54,-23.66,31.48,2013-02-01,2017-08-18
跨國投資股票型區域型,野村大俄羅斯基金,10306992,2.0,0.32,黃家珍,女,美國威斯康辛州立大學麥迪遜分校 MBA(University of Wisconsin-Madison),黃家珍,41,27.27,10.91,2009-08-01,2013-01-31
跨國投資股票型區域型,野村大俄羅斯基金,10306992,2.0,0.32,劉益銘,男,美國紐約州立大學水牛城分校企管碩士,劉益銘,8,70.05,69.68,2008-11-24,2009-07-31
跨國投資股票型區域型,野村大俄羅斯基金,10306992,2.0,0.32,林佳嫻,女,台灣大學國際企業研究所,林佳嫻,5,-58.6,-50.02,2008-06-11,2008-11-23
跨國投資股票型區域型,統一大龍騰中國基金(美元),38592911B,2.0,0.26,陳朝政,男,美國喬治華盛頓大學企管所碩士,陳朝政,40,95.09,60.98,2018-04-23,
跨國投資股票型區域型,柏瑞亞洲亮點股票基金(人民幣),38547873B,3.0,0.3,馬治雲,男,美國韋恩州立大學MBA,馬治雲,60,89.6,88.57,2016-08-11,
跨國投資股票型區域型,統一強漢基金(人民幣),48863201C,1.4,0.2,林鴻益,男,台科大企管碩士,林鴻益,33,172.07,73.15,2018-11-09,
跨國投資股票型區域型,統一強漢基金(人民幣),48863201C,1.4,0.2,錢素惠,女,淡江大學財務金融系,錢素惠,1,-5.19,-4.98,2018-10-10,2018-11-08
跨國投資股票型區域型,統一強漢基金(人民幣),48863201C,1.4,0.2,張繼聖,男,中正大學財金研究所碩士,張繼聖,6,-3.77,-2.15,2018-04-23,2018-10-09
跨國投資股票型區域型,瀚亞歐洲基金,17611814,4.0,0.3,林志映,男,銘傳大學金融研究所,林志映,50,14.91,71.5,2017-06-01,
跨國投資股票型區域型,瀚亞歐洲基金,17611814,4.0,0.3,方定宇,男,美國布蘭迪斯大學MBA,方定宇,55,45.87,34.4,2012-10-17,2017-05-31
跨國投資股票型區域型,瀚亞歐洲基金,17611814,4.0,0.3,林宜正,男,美國波士頓大學MBA,林宜正,24,-10.13,-7.84,2010-10-14,2012-10-16
跨國投資股票型區域型,瀚亞歐洲基金,17611814,4.0,0.3,廖偉至,男,英國倫敦城市大學 投資管理碩士,廖偉至,27,-18.05,7.75,2008-07-01,2010-10-13
跨國投資股票型區域型,瀚亞歐洲基金,17611814,4.0,0.3,黃于珊,女,台灣大學財經系,黃于珊,26,11.88,13.75,2006-04-03,2008-06-30
跨國投資股票型區域型,瀚亞歐洲基金,17611814,4.0,0.3,林如惠,女,美國華盛頓州立大學傳播碩士,林如惠,12,24.63,14.46,2005-04-28,2006-04-02
跨國投資股票型區域型,瀚亞歐洲基金,17611814,4.0,0.3,張淑貞,女,紐約市立大學布魯克分校企管碩士,張淑貞,58,-25.7,-35.01,2000-06-13,2005-04-27
跨國投資股票型區域型,宏利亞太中小企業基金(美元),25677726C,3.0,0.33,林柏均,,清華大學 統計所碩士,林柏均,17,49.12,52.1,2020-03-09,
跨國投資股票型區域型,宏利亞太中小企業基金(美元),25677726C,3.0,0.33,陳桂銓,男,國立臺北大學合作經濟學系,陳桂銓,7,-6.12,7.33,2019-08-05,2020-03-08
跨國投資股票型區域型,宏利亞太中小企業基金(美元),25677726C,3.0,0.33,蘇泰弘,男,國立政治大學財務管理系碩士,蘇泰弘,5,0.57,1.05,2019-03-18,2019-08-04
跨國投資股票型區域型,宏利亞太中小企業基金(美元),25677726C,3.0,0.33,孫傳恕,男,國立交通大學材料系碩士,孫傳恕,10,-21.45,-2.36,2018-05-09,2019-03-17
跨國投資股票型區域型,宏利亞太中小企業基金(美元),25677726C,3.0,0.33,陳桂銓,男,國立臺北大學合作經濟學系,陳桂銓,10,4.14,1.83,2017-07-21,2018-05-08
跨國投資股票型區域型,宏利亞太中小企業基金(美元),25677726C,3.0,0.33,龔曉薇,女,"政治大學金融學系
政治大學企業管理研究所",龔曉薇,23,6.2,24.37,2015-08-10,2017-07-20
跨國投資股票型區域型,宏利亞太中小企業基金(美元),25677726C,3.0,0.33,游清翔,男,羅福堡大學 銀行暨財務金融研究所,游清翔,11,-5.86,-10.26,2014-09-05,2015-08-09
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,吳志文,男,輔仁大學經濟學碩士,吳志文,35,82.85,57.63,2018-09-07,
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,曾偉淳,,政治大學財務管理碩士,曾偉淳,2,-0.84,1.56,2018-07-11,2018-09-06
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,陳沅易,男,政治大學國際貿易研究所,陳沅易,20,17.69,15.79,2016-11-01,2018-07-10
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,黃銘功,男,政治大學國際經營與貿易學系商學碩士,黃銘功,0,-2.27,1.34,2016-10-01,2016-10-31
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,劉建生,男,國立政治大學財政所,劉建生,2,6.12,5.77,2016-07-01,2016-09-30
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,黃銘功,男,政治大學國際經營與貿易學系商學碩士,黃銘功,25,20.56,-2.26,2014-05-05,2016-06-30
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,陳沅易,男,政治大學國際貿易研究所,陳沅易,12,7.19,9.0,2013-05-06,2014-05-04
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,朱繼元,男,台北大學企業管理研究所,朱繼元,4,6.37,6.81,2013-01-18,2013-05-05
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,陳世堯,男,布里斯托大學國際商業企業管理碩士,陳世堯,14,2.88,0.38,2011-11-01,2013-01-17
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,劉大平,男,英國瑞丁大學國際證券投資市場研究所,劉大平,0,2.01,5.01,2011-10-01,2011-10-31
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,彭國星,男,美國羅格斯大學企管研究所碩士,彭國星,20,2.19,-13.24,2010-01-07,2011-09-30
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,邱翠欣,女,美國堪薩斯州立大學企業管理研究所,邱翠欣,31,-28.02,-6.84,2007-06-26,2010-01-06
跨國投資股票型區域型,凱基台商天下基金,48882220,3.0,0.25,盧文松,男,淡江大學企管系學士(1992畢),盧文松,1,1.7,10.42,2007-05-08,2007-06-25
跨國投資股票型區域型,統一大龍騰中國基金(人民幣),38592911C,2.0,0.26,陳朝政,男,美國喬治華盛頓大學企管所碩士,陳朝政,40,100.1,60.98,2018-04-23,
跨國投資股票型區域型,統一新亞洲科技能源基金,26318517,2.0,0.26,郭秉修,男,國立清華大學科技管理研究所,郭秉修,12,38.54,34.58,2020-08-17,
跨國投資股票型區域型,統一新亞洲科技能源基金,26318517,2.0,0.26,蘇柏勳,,"政治大學新聞系
臺北醫學大學生物科技高階管理碩士在職專班",蘇柏勳,31,25.93,20.23,2018-01-01,2020-08-16
跨國投資股票型區域型,統一新亞洲科技能源基金,26318517,2.0,0.26,錢素惠,女,淡江大學財務金融系,錢素惠,4,5.72,3.03,2017-08-11,2017-12-31
跨國投資股票型區域型,統一新亞洲科技能源基金,26318517,2.0,0.26,林子欽,男,"美國密西根Ann Arbor大學財務工程研究所
中山大學企業管理學研究所",林子欽,49,96.69,28.13,2013-07-01,2017-08-10
跨國投資股票型區域型,統一新亞洲科技能源基金,26318517,2.0,0.26,林川欽,男,東吳大學企業管理研究所,林川欽,24,-3.2,-4.91,2011-06-28,2013-06-30
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,林柏均,,清華大學 統計所碩士,林柏均,17,44.54,52.1,2020-03-09,
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,陳桂銓,男,國立臺北大學合作經濟學系,陳桂銓,7,-8.2,7.33,2019-08-05,2020-03-08
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,蘇泰弘,男,國立政治大學財務管理系碩士,蘇泰弘,5,-0.45,1.05,2019-03-18,2019-08-04
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,孫傳恕,男,國立交通大學材料系碩士,孫傳恕,10,-21.44,-2.36,2018-05-09,2019-03-17
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,陳桂銓,男,國立臺北大學合作經濟學系,陳桂銓,10,1.81,1.83,2017-07-21,2018-05-08
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,龔曉薇,女,"政治大學金融學系
政治大學企業管理研究所",龔曉薇,23,2.06,24.37,2015-08-10,2017-07-20
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,游清翔,男,羅福堡大學 銀行暨財務金融研究所,游清翔,13,0.0,-10.12,2014-07-01,2015-08-09
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,陳伯禎,,鈕澤西州立羅格斯大學 企業管理碩士,陳伯禎,20,43.95,21.75,2012-10-01,2014-06-30
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,張哲元,男,南加州大學電機工程碩士,張哲元,11,15.58,3.28,2011-10-25,2012-09-30
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,周奇賢,男,政治大學公共行政學系,周奇賢,1,-1.82,-1.41,2011-09-19,2011-10-24
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,張哲元,男,南加州大學電機工程碩士,張哲元,4,-2.94,-15.3,2011-05-04,2011-09-18
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,王彥傑,男,淡江大學 管碩士(MBA),王彥傑,8,13.31,10.45,2010-09-17,2011-05-03
跨國投資股票型區域型,宏利亞太中小企業基金(台幣),25677726A,3.0,0.33,葉德鴻,男,美國伊利諾州Quincy University企管碩士,葉德鴻,5,5.2,0.52,2010-04-08,2010-09-16
跨國投資股票型區域型,摩根大歐洲基金,73980092,2.0,0.3,蓋欣聖,男,"美國雪城大學(Syracuse University)企業管理碩士
國立成功大學航空太空工程碩士",蓋欣聖,54,29.2,77.18,2017-02-15,
跨國投資股票型區域型,摩根大歐洲基金,73980092,2.0,0.3,張婉珍,女,英國布列福大學荷蘭分校(University of Bradford)企業管理碩士,張婉珍,4,4.5,4.31,2016-10-21,2017-02-14
跨國投資股票型區域型,摩根大歐洲基金,73980092,2.0,0.3,陳亭安,女,台灣大學國際企業研究所碩士,陳亭安,16,-12.09,0.16,2015-06-12,2016-10-20
跨國投資股票型區域型,摩根大歐洲基金,73980092,2.0,0.3,葉鴻儒,男,國立台灣大學財務金融系,葉鴻儒,10,4.18,0.16,2014-08-21,2015-06-11
跨國投資股票型區域型,摩根大歐洲基金,73980092,2.0,0.3,趙心盈,女,"美國紐約州立大學水牛城分校 企業管理碩士
(MBA, State University of New York at Buffalo)",趙心盈,24,51.72,26.16,2012-08-29,2014-08-20
跨國投資股票型區域型,摩根大歐洲基金,73980092,2.0,0.3,田克杰,男,美國佩斯大學企管碩士,田克杰,4,-4.91,-7.2,2012-04-02,2012-08-28
跨國投資股票型區域型,摩根大歐洲基金,73980092,2.0,0.3,高仰遠,男,英國伯明罕大學國際經濟管理系碩士,高仰遠,15,-6.37,-10.94,2011-01-01,2012-04-01
跨國投資股票型區域型,摩根大歐洲基金,73980092,2.0,0.3,趙心盈,女,"美國紐約州立大學水牛城分校 企業管理碩士
(MBA, State University of New York at Buffalo)",趙心盈,9,1.22,13.09,2010-03-29,2010-12-31
跨國投資股票型區域型,摩根大歐洲基金,73980092,2.0,0.3,田克杰,男,美國佩斯大學企管碩士,田克杰,132,6.0,-15.44,1998-06-01,2009-06-30
跨國投資股票型區域型,統一強漢基金(台幣),48863201A,1.4,0.2,林鴻益,男,台科大企管碩士,林鴻益,33,163.83,73.15,2018-11-09,
跨國投資股票型區域型,統一強漢基金(台幣),48863201A,1.4,0.2,錢素惠,女,淡江大學財務金融系,錢素惠,1,-6.1,-4.98,2018-10-10,2018-11-08
跨國投資股票型區域型,統一強漢基金(台幣),48863201A,1.4,0.2,張繼聖,男,中正大學財金研究所碩士,張繼聖,138,122.9,31.5,2007-04-17,2018-10-09
跨國投資股票型區域型,統一大龍騰中國基金(台幣),38592911A,2.0,0.26,陳朝政,男,美國喬治華盛頓大學企管所碩士,陳朝政,82,95.4,99.59,2014-10-27,
跨國投資股票型區域型,凱基新興市場中小基金(美元),26323981B,3.0,0.27,龔曉薇,女,"政治大學金融學系
政治大學企業管理研究所",龔曉薇,20,39.49,42.41,2019-12-30,
